#key	name	year	genre	developer	players
Actua Ice Hockey (Europe) (En,Fr,De,Sv,Fi)	Actua Ice Hockey	1998	Sports / Hockey/Sports	Gremlin Interactive	1-2
Actua Ice Hockey 2 (Europe)	Actua Ice Hockey 2	1999	Sports / Hockey/Sports	Gremlin Interactive	1-4
Actua Pool (Europe)	Ultimate 8 Ball	1999	Sports / Pool/Sports	Infogrames	1-16
Actua Soccer (Europe) (En,Fr)	VR Soccer '96	1996	Sports / Football (Soccer)/Sports	Gremlin Interactive	1-2
Actua Soccer - Club Edition (Europe)	Actua Soccer : Club Edition	1997	Sports / Football (Soccer)/Sports	Gremlin Interactive	1-2
Actua Soccer 2 (Europe) (En,Fr)	Actua Soccer 2	1997	Sports / Football (Soccer)/Sports	Gremlin Interactive	1-2
Actua Soccer 3 (Europe)	Actua Soccer 3	1998	Sports / Football (Soccer)/Sports	Gremlin Interactive	1-2
Actua Tennis (Europe)	Actua Tennis	1998	Sports / Tennis/Sports	Infogrames	1-2
Addie no Okurimono - To Moze from Addie (Japan)	Addie no Okurimono : To Moze from Addie	2000	Adventure/Puzzle	Sony Computer Entertainment	1
Adiboo & Paziral's Secret (Europe) (En,Fr,De,Es,It)	Adiboo & Paziral's Secret	2003	Action / Adventure/Educational/Action	Coktel	1
Adibou et l'Ombre Verte (France)	Adibou Et L'ombre Verte	2001	Educational	Coktel	1
Adidas Power Soccer (USA)	Adidas Power Soccer	1996	Sports / Football (Soccer)/Sports	Psygnosis	1-4
Adidas Power Soccer + Resident Evil + Shellshock + Descent (Europe)	Adidas Power Soccer 98	1998	Sports / Football (Soccer)/Sports	Shen Technologies SARL	1-4
Adidas Power Soccer 2 (Europe) (En,Fr,De,Es,It,Nl)	Adidas Power Soccer 2	1998	Sports / Football (Soccer)/Sports	Shen Technologies SARL	1-2
Adidas Power Soccer 98 (USA)	Adidas Power Soccer 98	1998	Sports / Football (Soccer)/Sports	Shen Technologies SARL	1-4
Adidas Power Soccer International '97 (Europe) (En,Fr,De,Es,It,Nl)	Adidas Power Soccer International '97	1997	Sports / Football (Soccer)/Sports	Psygnosis	1-2
Adlib Ouji - ...to Fuyukai na Nakamatachi! (Japan)	Adlib Ouji : ...to Fuyukai na Nakamatachi!	2002	Casino	Telenet	1
Advan Racing (Japan)	ADVAN Racing	1998	Racing, Driving	Atlus	1-2
Advanced Dungeons & Dragons - Iron & Blood - Warriors of Ravenloft (USA)	Advanced Dungeons & Dragons : Iron & Blood, Warriors of Ravenloft	1996	Fighting	Take 2 Interactive	1-2
Advanced V.G. (Japan)	Advanced V.G.	1996	Fighting / Versus/Fighting	Technic(TGL) Technical Group Laboratory	1-2
Advanced V.G. 2 (Japan)	Advanced V.G. 2	1998	Fighting / Versus/Fighting	Technic(TGL) Technical Group Laboratory	1-2
Adventure of Little Ralph, The (Japan) (Rev 1)	Chippoke Ralph No Daibouken : The Adventure Of Little Ralph	1999	Platform	NEW	1
Adventures of Lomax, The (USA)	The Adventures of Lomax	1996	Platform	Psygnosis	1
Aeon Flux (USA) (Proto) (1996-11-21)	Aeon Flux	1996	Action / Adventure/Action	Terminal Reality	1
Aerodive (Japan)	Skydiving Extreme	2001	Sports / Skydiving/Simulation/Sports	Metro 3D	1-2
AFL 99 (Australia)	Afl 99	1996	Sports	Electronic Arts	1-2
Afraid Gear (Japan)	Afraid Gear	1998	Simulation	Office Create	1-2
Afraid Gear Another (Japan)	Afraid Gear Another	2001	Simulation/Strategy	Office Create	1-2
Agent Armstrong (Europe) (En,Fr,De,Es)	Agent Armstrong	1997	Platform	King of the Jungle	1
Agent Armstrong - Himitsu Shirei Daisakusen (Japan)	Agent Armstrong	1997	Platform	King of the Jungle	1
Agile Warrior - F-111X (USA)	Agile Warrior F-111X	1995	Simulation / Vehicle/Simulation	Black Ops Entertainment	1-2
Ah Nanjarin (Japan)	A Nanjarin	1998	Simulation	To one	1
AI Mahjong 2000 (Japan)	AI Mahjong 2000	1999	Mahjong/Asiatic board game	i4	1
AI Mahjong Selection (Japan)	AI Mahjong Selection	2002	Mahjong/Asiatic board game	i4	1
AI Shougi (Japan)	AI Shogi	1997	Shougi/Board game/Asiatic board game	Soft Bank	1
AI Shougi 2 (Japan)	AI Shougi 2	1997	Shougi/Asiatic board game	Something Good	1-2
AI Shougi 2 Deluxe (Japan)	AI Shogi 2 Deluxe	1999	Shougi/Board game/Asiatic board game	i4	1
AI Shougi Selection (Japan)	Ai Shogi Selection [major Wave 1500 Series]	2002	Asiatic board game	i4	1-2
Ai to Yuujou no Neko Monogatari. Jingle Cats - Love Para Daisakusen no Maki (Japan, Asia)	Ai to Yuujou no Neko Monogatari. : Jingle Cats, Love Para Daisakusen no Maki	1998	Strategy	Vantan International	1
Air Combat (USA)	Air Combat	1995	Shooter / Plane/Shooter	Namco	1-2
Air Hockey (USA)	Air Hockey	2002	Sports / Shuffleboard/Sports	Success	1-2
Air Management '96 (Japan)	Air Management '96	1996	Build And Management/Simulation	Koei	1-4
Air Race (Europe)	Bravo Air Race	1997	Simulation	Metro Corporation	1-2
AirAssault - The Red Mercury Missions (Japan)	Warhawk : The Red Mercury Missions	1995	Shoot'em Up/Simulation	Sony Computer Entertainment	1
AirGrave (Japan)	Airgrave	1996	Shoot'em Up / Vertical/Shoot'em Up	Santos	1
Aironauts (Europe) (En,Fr,De)	Aironauts	1999	Shoot'em Up	Red Lemon	1
AirRace Championship (Japan)	Air Race Championship	1999	Racing, Driving	Metro Corporation	1-2
Airs, The (Japan)	The Airs	1999	Adventure	Pack in Soft	1
Aishiau Koto Shika Dekinai (Japan)	Aishiau Koto Shika Dekinai	1998	Adventure / Visual Novel/Adventure	Coconuts Japan	1
Aitakute... - Your Smiles in My Heart (Japan) (Disc 1)	Aitakute... Your Smiles in My Heart	2000	Adventure	KCET	1
Aitakute... - Your Smiles in My Heart - Oroshitate no Diary - Introduction Disc (Japan)	Aitakute... Your Smiles in My Heart	2000	Adventure	KCET	1
Akagawa Jirou - Majotachi no Nemuri - Fukkatsusai (Japan)	Akagawa Jiro : Majo Tachi no Nemuri, Fukkatsusai	1999	Adventure	Office Create	1-2
